2026-08-29 21:15:55Z ok [cloud] 22.1s events: - | eq=9585.29 pos=1
2026-08-29 21:30:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 21:30:46Z ok [cloud] 14.3s events: - | eq=9580.05 pos=1
2026-08-29 21:45:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 21:45:46Z ok [cloud] 13s events: - | eq=9579.7 pos=1
2026-08-29 22:00:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 22:00:46Z ok [cloud] 13.4s events: - | eq=9579.35 pos=1
2026-08-29 22:15:41Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 22:15:41Z ok [cloud] 13.8s events: - | eq=9580.4 pos=1
2026-08-29 22:27:58Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 22:27:58Z ok [cloud] 14.2s events: - | eq=9579.7 pos=1
2026-08-29 22:30:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 22:30:43Z ok [cloud] 15.3s events: - | eq=9582.5 pos=1
2026-08-29 22:45:54Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 22:45:54Z ok [cloud] 16s events: - | eq=9585.29 pos=1
2026-08-29 23:00:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 23:00:43Z ok [cloud] 13.7s events: - | eq=9585.29 pos=1
2026-08-29 23:15:51Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 23:15:51Z ok [cloud] 13.4s events: - | eq=9586.34 pos=1
2026-08-29 23:30:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 23:30:43Z ok [cloud] 16.2s events: - | eq=9584.94 pos=1
2026-08-29 23:45:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 23:45:43Z ok [cloud] 13.8s events: - | eq=9585.29 pos=1
2026-08-30 00:03:22Z scan 4h bar=2026-08-29 20:00: pass=0/20, near=NEAR-USDT 7/6 (miss: atrCapLong), btc=up fng=69 flat=off
2026-08-30 00:03:28Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 00:03:28Z ok [cloud] 143.3s events: - | eq=9587.14 pos=1
2026-08-30 00:15:50Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 00:15:50Z ok [cloud] 13.4s events: - | eq=9587.48 pos=1
2026-08-30 00:30:54Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 00:30:54Z ok [cloud] 14.5s events: - | eq=9586.78 pos=1
2026-08-30 00:33:59Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 00:33:59Z ok [cloud] 14.4s events: - | eq=9587.13 pos=1
2026-08-30 00:45:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 00:45:46Z ok [cloud] 13.2s events: - | eq=9583.63 pos=1
2026-08-30 01:00:44Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 01:00:44Z ok [cloud] 13.6s events: - | eq=9581.89 pos=1
2026-08-30 01:15:41Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 01:15:41Z ok [cloud] 13.4s events: - | eq=9573.49 pos=1
2026-08-30 01:30:52Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-30 01:30:52Z ok [cloud] 15.1s events: - | eq=9570 pos=1
2026-08-30 01:45:46Z RF ok: - | C2=12344.95 C3b=14179.05
